# wavelength_(μm) flux_(mJy) flux_unc_(mJy)
2.8599320 0.003918968 0.000525854
2.8606120 0.004138151 0.000521420
2.8612921 0.004138151 0.000516152
2.8619721 0.004138151 0.000667722
2.8626521 0.004038453 0.000512550
2.8633321 0.003644236 0.000282988
2.8640121 0.003644236 0.000374274
2.8646921 0.003532682 0.000446787
2.8653721 0.003958625 0.000401759
2.8660521 0.003958625 0.000245344
2.8667321 0.003958625 0.000257223
2.8674120 0.003532682 0.000274972
2.8680920 0.002985416 0.000370684
2.8687720 0.002891574 0.000297005
2.8694519 0.002891574 0.000318647
2.8701319 0.002499544 0.000388551
2.8708118 0.002985416 0.000465139
2.8714918 0.002988846 0.000565361
2.8721717 0.002988846 0.000571218
2.8728517 0.002365910 0.000605114
2.8735316 0.002315674 0.000622455
2.8742115 0.001983753 0.000516247
2.8748915 0.001983753 0.000455066
2.8755714 0.002041078 0.000415446
2.8762513 0.002041078 0.000339585
2.8769312 0.002041078 0.000474261
2.8776111 0.002346593 0.000472109
2.8782910 0.002041078 0.000473258
2.8789709 0.001826008 0.000162996
2.8796508 0.001676034 0.000424939
2.8803306 0.001676034 0.000381825
2.8810105 0.001676034 0.000452911
2.8816904 0.001678781 0.000564740
2.8823703 0.001878361 0.000343096
2.8830501 0.001933379 0.000328525
2.8837300 0.002424274 0.000166702
2.8844098 0.002424274 0.000382977
2.8850897 0.002424274 0.000531961
2.8857695 0.001349073 0.000523473
2.8864493 0.001349073 0.000499804
2.8871292 0.001349073 0.000404348
2.8878090 0.001349073 0.000305462
2.8884888 0.001260513 0.000325001
2.8891686 0.001260513 0.000334196
2.8898484 0.001260513 0.000403712
2.8905283 0.001080902 0.000360042
2.8912081 0.001093809 0.000356375
2.8918878 0.001093809 0.000362502
2.8925676 0.001235804 0.000391010
2.8932474 0.001093809 0.000364043
2.8939272 0.001093809 0.000389717
2.8946070 0.001041325 0.000401722
2.8952867 0.001041325 0.000385198
2.8959665 0.001041325 0.000363632
2.8966463 0.001254193 0.000314150
2.8973260 0.001569713 0.000427532
2.8980058 0.001860037 0.000470867
2.8986855 0.001860037 0.000433961
2.8993653 0.001860037 0.000446159
2.9000450 0.001491294 0.000416970
2.9007247 0.001207381 0.000417669
2.9014045 0.001207381 0.000423653
2.9020842 0.001207381 0.000377523
2.9027639 0.000997690 0.000309708
2.9034436 0.000968466 0.000316352
2.9041233 0.000796121 0.000357087
2.9048030 0.000796121 0.000392567
2.9054827 0.000930897 0.000354763
2.9061624 0.000930897 0.000359317
2.9068421 0.000930897 0.000396235
2.9075217 0.000930897 0.000417380
2.9082014 0.000872738 0.000429947
2.9088811 0.000872738 0.000395276
2.9095607 0.000872738 0.000409281
2.9102404 0.000872738 0.000359849
2.9109201 0.000938317 0.000325276
2.9115997 0.000938317 0.000203343
2.9122794 0.000777519 0.000298756
2.9129590 0.000729218 0.000165334
2.9136386 0.000729218 0.000242299
2.9143183 0.000606196 0.000299650
2.9149979 0.000606196 0.000314761
2.9156775 0.000654714 0.000311494
2.9163571 0.000654714 0.000219918
2.9170367 0.000488647 0.000267448
2.9177163 0.000309574 0.000281196
2.9183959 0.000309574 0.000324490
2.9190755 0.000261867 0.000372576
2.9197551 0.000261867 0.000405660
2.9204347 0.000309574 0.000392552
2.9211143 0.000735221 0.000128969
2.9217938 0.000754149 0.000143017
2.9224734 0.000754149 0.000198406
2.9231530 0.000754149 0.000242997
2.9238325 0.000260660 0.000388723
2.9245121 0.000260660 0.000368443
2.9251916 0.000033419 0.000360526
2.9258712 0.000260660 0.000391382
2.9265507 0.000523219 0.000247488
2.9272302 0.000657320 0.000225160
2.9279098 0.000657320 0.000284187
2.9285893 0.000657320 0.000249070
2.9292688 0.000438372 0.000236632
2.9299483 0.000390668 0.000228740
2.9306278 0.000390668 0.000220086
2.9313073 0.000438372 0.000245464
2.9319868 0.000513505 0.000225314
2.9326663 0.000513505 0.000298836
2.9333458 0.000553882 0.000266815
2.9340253 0.000591730 0.000296479
2.9347047 0.000513505 0.000360874
2.9353842 0.000575091 0.000407956
2.9360637 0.000591730 0.000378904
2.9367431 0.000575091 0.000299718
2.9374226 0.000333612 0.000360719
2.9381021 0.000333612 0.000327600
2.9387815 0.000303230 0.000381093
2.9394609 0.000303230 0.000389356
2.9401404 0.000333612 0.000376147
2.9408198 0.000564745 0.000349358
2.9414992 0.000564745 0.000374553
2.9421787 0.000564745 0.000355707
2.9428581 0.000399947 0.000326265
2.9435375 0.000399947 0.000318622
2.9442169 0.000170450 0.000362531
2.9448963 0.000170450 0.000336740
2.9455757 0.000179634 0.000334988
2.9462551 0.000179845 0.000329544
2.9469345 0.000179845 0.000352575
2.9476138 0.000179845 0.000324418
2.9482932 0.000179845 0.000231616
2.9489726 0.000179845 0.000285497
2.9496520 0.000277319 0.000263092
2.9503313 0.000277319 0.000299127
2.9510107 0.000277319 0.000258221
2.9516900 0.000366904 0.000280301
2.9523694 0.000387521 0.000276644
2.9530487 0.000366904 0.000308454
2.9537280 0.000366904 0.000309578
2.9544074 0.000366904 0.000302975
2.9550867 0.000439208 0.000295777
2.9557660 0.000439208 0.000158408
2.9564453 0.000439208 0.000219042
2.9571246 0.000266219 0.000225619
2.9578039 0.000277045 0.000188314
2.9584832 0.000277045 0.000030038
2.9591625 0.000163659 0.000206321
2.9598418 0.000163659 0.000218273
2.9605211 0.000139908 0.000225744
2.9612004 0.000038046 0.000321682
2.9618797 0.000038046 0.000338722
2.9625589 0.000139908 0.000373361
2.9632382 0.000202747 0.000280997
2.9639175 0.000359135 0.000200771
2.9645967 0.000370116 0.000183821
2.9652760 0.000359135 0.000202465
2.9659552 0.000202747 0.000256636
2.9666344 0.000370116 0.000195146
2.9673137 0.000370116 0.000367644
2.9679929 0.000238067 0.000301750
2.9686721 0.000238067 0.000268429
2.9693513 0.000238067 0.000266557
2.9700306 0.000012996 0.000264391
2.9707098 0.000012996 0.000217024
2.9713890 0.000012996 0.000253661
2.9720682 0.000158969 0.000267127
2.9727474 0.000170342 0.000269907
2.9734266 0.000197787 0.000320072
2.9741057 0.000197787 0.000263665
2.9747849 0.000197787 0.000299183
2.9754641 0.000170342 0.000253098
2.9761433 0.000125384 0.000212494
2.9768224 0.000125384 0.000158381
2.9775016 0.000233166 0.000174323
2.9781807 0.000125384 0.000230779
2.9788599 0.000100421 0.000305435
2.9795390 0.000056778 0.000275060
2.9802182 0.000056778 0.000212278
2.9856511 0.000284068 0.000335876
2.9863302 0.000284068 0.000362259
2.9870093 0.000367417 0.000349709
2.9876883 0.000367417 0.000301393
2.9883674 0.000096879 0.000330213
2.9890465 0.000063750 0.000305785
2.9897256 0.000047721 0.000345417
2.9904046 0.000047721 0.000203189
2.9924418 0.000122600 0.000347887
2.9931208 0.000122600 0.000345951
2.9937998 0.000309723 0.000336594
2.9944789 0.000309723 0.000370844
2.9951579 0.000286752 0.000331675
2.9958369 0.000034445 0.000279890
2.9965159 0.000286752 0.000310131
2.9971950 0.000270862 0.000258119
2.9978740 0.000286752 0.000270696
2.9985530 0.000298501 0.000287204
2.9992320 0.000298501 0.000268183
2.9999110 0.000270862 0.000311956
3.0005899 0.000019523 0.000305010
3.0039848 0.000155709 0.000253067
3.0046637 0.000155709 0.000146833
3.0053427 0.000104043 0.000109474
3.0060216 0.000104043 0.000159853
3.0080584 0.000104043 0.000210631
3.0087374 0.000125931 0.000221962
3.0094163 0.000182703 0.000162844
3.0100952 0.000191346 0.000197073
3.0107741 0.000393431 0.000190354
3.0114530 0.000395852 0.000211871
3.0121319 0.000395852 0.000252484
3.0128108 0.000395852 0.000282997
3.0134897 0.000242314 0.000187087
3.0141686 0.000235706 0.000194052
3.0148475 0.000233042 0.000240488
3.0155263 0.000233042 0.000263536
3.0162052 0.000233042 0.000225306
3.0168841 0.000194279 0.000264738
3.0175629 0.000194279 0.000281278
3.0182418 0.000221908 0.000207151
3.0189206 0.000221908 0.000266985
3.0195995 0.000221908 0.000184456
