wavelength (μm), optical depth
7.705199585127991, 0.0008461178300727956
7.748379406214437, 0.0009023415554457459
7.791559227300883, 0.0009585652808187239
7.834739048387329, 0.001014789006191702
7.877918869473776, 0.00107101273156468
7.921098690560221, 0.001127236456937658
7.9642785116466674, 0.001183460182310636
8.005713693497297, 0.011183332468849755
8.041341063155013, 0.02972143952425732
8.075618215605108, 0.043977149733343934
8.09054677633885, 0.06282084880900346
8.120772651099363, 0.08025957429552172
8.181101249615507, 0.14540319536926352
8.210845103645976, 0.17304916615197793
8.244831894641491, 0.19808465900950215
8.274388135812963, 0.2251393524426634
8.301866203777063, 0.2500570503675402
8.329042314950351, 0.27592246349543226
8.341120586582925, 0.301345914705648
8.365327455979871, 0.3228510353276772
8.388225845949956, 0.348179155471241
8.411085751231017, 0.37390196082182736
8.432098391438858, 0.3995589212747843
8.45561253643335, 0.4242252517572437
8.479203650805891, 0.4492300270179287
8.499446597233227, 0.4738201999087466
8.518326086106521, 0.4968470769118375
8.538128520289835, 0.5217547805218956
8.55758046891238, 0.5461998249372855
8.576646883418084, 0.5706957232254898
8.597010094498625, 0.5971223649313858
8.616462043121171, 0.6220007245029577
8.635528457626874, 0.6469126053410967
8.655155649029805, 0.672030639838937
8.674782840432734, 0.6973643689922986
8.694410031835664, 0.722554301708646
8.714037223238595, 0.7486070130470803
8.733944803090138, 0.7744495304061549
8.749668124554683, 0.7992808145433332
8.769273747615411, 0.8237971671838418
8.785349352002573, 0.8477756124844142
8.800698822202301, 0.8710242539837749
8.82030444526303, 0.8953509849490995
8.836027766727575, 0.9200993096033847
8.85535300133969, 0.9447855616172764
8.87498019274262, 0.9711977640482474
8.894607384145552, 0.9981132540087687
8.914514963997094, 1.0254296848472422
8.930590568384257, 1.0504480865226515
8.9462923215066, 1.0735658342091543
8.961994074628944, 1.0969532002150586
8.97734354482867, 1.1217089389869754
8.996668779440787, 1.1482977284752134
9.016295970843718, 1.173919050502604
9.036615886649104, 1.1980356412332125
9.060130031643595, 1.222603287886348
9.08418296228444, 1.2465654354174487
9.107235291010626, 1.2723942239936707
9.130787920694143, 1.297349607229422
9.154340550377658, 1.3221851601009942
9.177893180061176, 1.3479793558859965
9.211341185410333, 1.3720638747896603
9.241272652299802, 1.396840328858994
9.275374897362394, 1.4183268786141574
9.310703841887667, 1.4410208186737954
9.346032786412941, 1.46401433464388
9.38312817816448, 1.4876572346420227
9.422125897698148, 1.4979286212150822
9.467721373111107, 1.5031013111783702
9.510901194197555, 1.5091381594432107
9.554081015284, 1.5156652228342373
9.597260836370445, 1.5195451245438603
9.640440657456892, 1.515581584234509
9.68362047854334, 1.509559140395177
9.726800299629783, 1.503438653530608
9.771615719999808, 1.4984804721512464
9.814730117114912, 1.4929644987548438
9.856339762889123, 1.4799299341119494
9.899519583975568, 1.4650345964886535
9.942699405062015, 1.4500412158401201
9.98587922614846, 1.4349007706537311
10.029059047234906, 1.417603378912124
10.072238868321353, 1.3986392557414853
10.1154186894078, 1.3792339389572794
10.158598510494244, 1.3600247082235475
10.201778331580691, 1.3403742838762485
10.244958152667138, 1.3195473432261036
10.288137973753583, 1.2987204025759582
10.331317794840029, 1.2782856340267619
10.374497615926476, 1.2576057579144724
10.417677437012921, 1.2338375265072121
10.459922629937324, 1.2090876478838273
10.500111640905228, 1.1847125575873498
10.540300651873132, 1.1613799914592278
10.58161121663549, 1.1379127926311485
10.620973819544323, 1.1144484632754965
10.657955580187739, 1.0898620164790218
10.696383554934528, 1.066336059438428
10.734111378409048, 1.0431800341853585
10.848603328259475, 0.9628031075169274
10.88323441709042, 0.9418179711671355
10.923186655590609, 0.9143689237319885
10.961546910788112, 0.8916451112687687
10.99864230253965, 0.86647511241869
11.034797655123995, 0.8422470806625914
11.073225629870784, 0.8174297937764395
11.103558562038948, 0.7968704501795365
11.171361586885435, 0.7535116690416079
11.251948525704524, 0.697019409878691
11.288298327243945, 0.674562375361569
11.323760955425833, 0.6526417528463309
11.392412830060934, 0.6034583954373379
11.425822350721068, 0.5819760465933245
11.457918581368213, 0.5583826208844792
11.536427346979934, 0.49977545678986746
11.612456888414442, 0.4458372662052583
11.646339618836342, 0.41943750338561514
11.674119643591258, 0.3968361063984225
11.758410881747071, 0.3409896894034471
11.79633268155768, 0.31455970969407887
11.831758850560492, 0.2915071436034453
11.947726046823556, 0.22434167326825175
11.980001872686152, 0.2104748175267128
