# wavelength_(/cm) continuum_(mJy)
2.9183959 0.025095732
2.9190755 0.025123214
2.9197551 0.025150683
2.9204347 0.025178139
2.9211143 0.025205583
2.9217938 0.025233015
2.9224734 0.025260432
2.9231530 0.025287839
2.9238325 0.025315232
2.9245121 0.025342613
2.9251916 0.025369980
2.9258712 0.025397335
2.9265507 0.025424678
2.9272302 0.025452008
2.9279098 0.025479325
2.9285893 0.025506630
2.9292688 0.025533922
2.9299483 0.025561201
2.9306278 0.025588467
2.9313073 0.025615722
2.9319868 0.025642964
2.9326663 0.025670193
2.9333458 0.025697410
2.9340253 0.025724613
2.9347047 0.025751804
2.9353842 0.025778983
2.9360637 0.025806149
2.9367431 0.025833302
2.9374226 0.025860443
2.9381021 0.025887571
2.9387815 0.025914685
2.9394609 0.025941789
2.9401404 0.025968879
2.9408198 0.025995957
2.9414992 0.026023022
2.9421787 0.026050075
2.9428581 0.026077116
2.9435375 0.026104142
2.9442169 0.026131158
2.9448963 0.026158160
2.9455757 0.026185149
2.9462551 0.026212127
2.9469345 0.026239092
2.9476138 0.026266044
2.9482932 0.026292984
2.9489726 0.026319911
2.9496520 0.026346825
2.9503313 0.026373727
2.9510107 0.026400617
2.9516900 0.026427494
2.9523694 0.026454358
2.9530487 0.026481210
2.9537280 0.026508050
2.9544074 0.026534876
2.9550867 0.026561691
2.9557660 0.026588493
2.9564453 0.026615282
2.9571246 0.026642059
2.9578039 0.026668823
2.9584832 0.026695575
2.9591625 0.026722314
2.9598418 0.026749041
2.9605211 0.026775756
2.9612004 0.026802457
2.9618797 0.026829147
2.9625589 0.026855823
2.9632382 0.026882488
2.9639175 0.026909140
2.9645967 0.026935779
2.9652760 0.026962406
2.9659552 0.026989020
2.9666344 0.027015623
2.9673137 0.027042212
2.9679929 0.027068789
2.9686721 0.027095353
2.9693513 0.027121905
2.9700306 0.027148446
2.9707098 0.027174973
2.9713890 0.027201488
2.9720682 0.027227990
2.9727474 0.027254481
2.9734266 0.027280957
2.9741057 0.027307423
2.9747849 0.027333875
2.9754641 0.027360316
2.9761433 0.027386743
2.9768224 0.027413158
2.9775016 0.027439562
2.9781807 0.027465952
2.9788599 0.027492330
2.9795390 0.027518696
2.9802182 0.027545049
2.9856511 0.027755429
2.9863302 0.027781671
2.9870093 0.027807900
2.9876883 0.027834118
2.9883674 0.027860323
2.9890465 0.027886515
2.9897256 0.027912695
2.9904046 0.027938862
2.9924418 0.028017290
2.9931208 0.028043409
2.9937998 0.028069514
2.9944789 0.028095608
2.9951579 0.028121690
2.9958369 0.028147759
2.9965159 0.028173815
2.9971950 0.028199858
