# wavenumber_(/cm) absorbance absorbance_unc
3366.1988795 2.373066436 0.360887700
3365.4294338 2.309302536 0.360887700
3364.6603399 2.106171036 0.360887700
3363.8915974 2.092402436 0.360887700
3363.1232061 2.022310936 0.360887700
3362.3552788 2.072817036 0.360887700
3361.5875891 2.041033936 0.360887700
3360.8202499 2.110992136 0.360887700
3360.0532609 2.209443336 0.360887700
3359.2867347 2.285663136 0.360887700
3358.5204455 2.107733836 0.443065200
3357.7546184 2.187808736 0.360887700
3356.9890279 2.131502436 0.360887700
3356.2238991 2.219364636 0.362269500
3355.4590063 2.310863736 0.360887700
3349.3531779 1.951658336 0.360887700
3348.5915255 1.933968936 0.360887700
3347.8302193 1.901894436 0.660523700
3347.0693713 1.868269436 0.606749100
3346.3087571 2.115127536 0.360887700
3345.5484885 2.178401536 0.360887700
3344.7885652 2.151919636 0.360887700
3344.0290989 2.347353636 0.360887700
3341.7525447 2.075541336 0.360887700
3340.9944564 2.077736836 0.360887700
3340.2367119 1.938452236 0.360887700
3339.4791995 1.916430436 0.360887700
3338.7221422 1.958415836 0.360887700
3337.9654280 2.252713936 0.360887700
3337.2090567 1.974619336 0.360887700
3336.4529168 2.074900136 0.970110500
3335.6972308 2.114877336 1.385613400
3334.9418870 1.905259636 0.386268400
3334.1868852 2.052904036 0.832668700
3333.4322252 1.986976336 0.360887700
3332.6780177 2.241648936 0.360887700
3328.9116510 2.143406636 0.360887700
3328.1594875 2.261498836 0.825368400
3327.4075532 2.426249336 0.360887700
3326.6560693 2.334643136 0.360887700
3324.4035422 2.259394036 0.360887700
3323.6533039 2.216201136 0.360887700
3322.9035145 2.162767336 0.583742500
3322.1540634 2.169128636 0.360887700
3321.4049503 1.841300136 0.226727400
3320.6561749 1.834473136 0.213771300
3319.9077371 1.888488736 0.357550300
3319.1596366 1.908647636 0.365397700
3318.4118731 2.053510036 0.411232200
3317.6644465 2.099217036 0.420233400
3316.9173565 2.085802536 0.360887700
3316.1707129 2.065549136 0.360887700
3315.4242954 2.106645736 0.772243100
3314.6782139 2.100479436 0.360887700
3313.9325778 2.085490636 0.360887700
3313.1871674 2.056691136 0.873871500
3312.4422020 2.074247836 0.360887700
3311.6974619 2.120060836 0.493306700
3310.9531661 2.117103536 0.017733500
3310.2090953 1.900565036 0.358866800
3309.4654684 2.121524136 0.162576000
3308.7221755 2.081746736 0.360887700
