# wavelength_(μm) flux_(mJy) flux_unc_(mJy)
2.6249760 0.259762897 0.002289405
2.6259800 0.257474053 0.002242412
2.6269840 0.256247492 0.002145969
2.6279880 0.256109269 0.002180428
2.6289920 0.263223507 0.002344284
2.6299960 0.263066019 0.002361446
2.6310000 0.262244766 0.002465993
2.6320040 0.257157161 0.002440798
2.6330080 0.266743416 0.002561871
2.6340120 0.264405045 0.002673090
2.6350160 0.270806037 0.002673313
2.6360200 0.261699446 0.002415474
2.6370240 0.257518443 0.002329109
2.6380280 0.251604778 0.002246232
2.6390320 0.254914904 0.002256433
2.6400360 0.258371654 0.002454263
2.6410400 0.267977102 0.002790974
2.6420440 0.270743168 0.003028395
2.6430480 0.269779905 0.002762095
2.6440520 0.263602892 0.002438832
2.6450560 0.273357720 0.002413659
2.6460600 0.279957659 0.002409617
2.6470640 0.277901536 0.002348425
2.6480680 0.278774834 0.002335838
2.6490720 0.278754396 0.002444209
2.6500760 0.275092123 0.002370170
2.6510800 0.274677882 0.002486502
2.6520840 0.268146724 0.002503300
2.6530880 0.266869632 0.002334835
2.6540920 0.275286031 0.002342515
2.6550960 0.285839875 0.002590481
2.6561000 0.286222118 0.002642712
2.6571040 0.282948228 0.002442876
2.6581080 0.290504217 0.002516586
2.6591120 0.286664237 0.002435044
2.6601160 0.292514195 0.002550967
2.6611200 0.292746259 0.002601792
2.6621240 0.288105883 0.002592952
2.6631280 0.284230400 0.002557917
2.6641320 0.290742437 0.002529259
2.6651360 0.294275262 0.002516099
2.6661400 0.298972572 0.002472742
2.6671440 0.296189536 0.002457854
2.6681480 0.290585082 0.002390330
2.6691520 0.299016136 0.002431158
2.6701560 0.311667579 0.002469494
2.6711600 0.310786611 0.002456989
2.6721640 0.306077818 0.002545426
2.6731680 0.296457660 0.002472325
2.6741720 0.295480098 0.002383475
2.6751760 0.293820769 0.002403676
2.6761800 0.295054929 0.002437435
2.6771840 0.296289517 0.002472387
2.6781880 0.302069932 0.002675170
2.6791920 0.305887923 0.002650662
2.6801960 0.303690937 0.002622105
2.6812000 0.305155694 0.002615158
2.6822040 0.308294715 0.002560796
2.6832080 0.306863921 0.002578068
2.6842120 0.306456738 0.002597241
2.6852160 0.313732000 0.002642693
2.6862200 0.312358376 0.002585601
2.6872240 0.309663975 0.002529026
2.6882280 0.314151938 0.002599964
2.6892320 0.314601500 0.002569034
2.6902360 0.309892793 0.002462081
2.6912400 0.306068477 0.002418652
2.6922440 0.303413403 0.002513928
2.6932480 0.289565173 0.002434993
2.6942520 0.285460156 0.002327896
2.6952560 0.286611435 0.002318641
2.6962600 0.289359116 0.002352404
2.6972640 0.288874370 0.002346283
2.6982680 0.286090430 0.002395558
2.6992720 0.276817609 0.002344064
2.7002760 0.275097553 0.002337923
2.7012800 0.271990078 0.002315125
2.7022840 0.275096496 0.002388595
2.7032880 0.284093918 0.002462404
2.7042920 0.291802381 0.002487811
2.7052960 0.297531911 0.002593060
2.7063000 0.307816095 0.002686362
2.7073040 0.312831594 0.002909852
2.7083080 0.315420539 0.002931731
2.7093120 0.318328381 0.002859741
2.7103160 0.311659213 0.003015151
2.7113200 0.321058737 0.002909625
2.7123240 0.322422256 0.002864956
2.7133280 0.322248205 0.002679769
2.7143320 0.324288691 0.002531785
2.7153360 0.329193339 0.002568727
2.7163400 0.332137958 0.002583636
2.7173440 0.334152374 0.002603339
2.7183480 0.331768279 0.002593595
2.7193520 0.333723754 0.002880113
2.7203560 0.319371862 0.002935542
2.7213600 0.321479980 0.002852712
2.7223640 0.322206165 0.002708740
2.7233680 0.318418210 0.002574665
2.7243720 0.323596611 0.002659193
2.7253760 0.317106790 0.002709705
2.7263800 0.307381515 0.002749097
2.7273840 0.306702287 0.002619840
2.7283880 0.302280211 0.002727847
2.7293920 0.310208563 0.003195796
2.7303960 0.313260294 0.003125653
2.7314000 0.309557239 0.002754567
2.7324040 0.304738858 0.002578383
2.7334080 0.294905340 0.002511617
2.7344120 0.288124251 0.002454598
2.7354160 0.293253746 0.002499506
2.7364200 0.284064544 0.002416961
2.7374240 0.289470629 0.002464956
2.7384280 0.291082563 0.002523451
2.7394320 0.295887787 0.002586309
2.7404360 0.302419298 0.002526190
2.7414400 0.299808263 0.002583752
2.7424440 0.304302851 0.002608027
2.7434480 0.304456260 0.002556608
2.7444520 0.299487376 0.002627941
2.7454560 0.292168597 0.002599964
2.7464600 0.297415517 0.002595265
2.7474640 0.294287317 0.002542925
2.7484680 0.296890253 0.002520162
2.7494720 0.305916529 0.002526127
2.7504760 0.305936712 0.002694870
2.7514800 0.305146983 0.002700464
2.7524840 0.297554237 0.002639440
2.7534880 0.293614010 0.002528447
2.7544920 0.295440804 0.002472155
2.7554960 0.301723393 0.002564039
2.7565000 0.299793484 0.002733933
2.7575040 0.297810358 0.002670550
2.7585080 0.302332307 0.002771515
2.7595120 0.297425869 0.002727470
2.7605160 0.296350292 0.002553826
2.7615200 0.294800447 0.002900654
2.7625240 0.295518131 0.002908196
2.7635280 0.300918406 0.002729371
2.7645320 0.292986416 0.002476091
2.7655360 0.286263557 0.002528008
2.7665400 0.291585807 0.002542656
2.7675440 0.291378113 0.002406063
2.7685480 0.293675291 0.002555316
2.7695520 0.297740829 0.002323785
2.7705560 0.290611981 0.002300901
2.7715600 0.294107859 0.002393354
2.7725640 0.296735382 0.002358626
2.7735680 0.286977356 0.002452592
2.7745720 0.278661810 0.002587925
2.7755760 0.280413966 0.002410722
2.7765800 0.273178024 0.002232740
2.7775840 0.274321736 0.002232526
2.7785880 0.280060805 0.002089738
2.7795920 0.281079851 0.002092549
2.7805960 0.277582161 0.002042455
2.7816000 0.274055252 0.002069978
2.7826040 0.268033393 0.002050647
2.7836080 0.269719173 0.002083103
2.7846120 0.267025242 0.002033889
2.7856160 0.265237597 0.001965849
2.7866200 0.265144551 0.001952743
2.7876240 0.261536196 0.001869884
2.7886280 0.255334032 0.001889032
2.7896320 0.253495188 0.001865184
2.7906360 0.255248882 0.001822316
2.7916400 0.252902433 0.001855375
2.7926440 0.259318851 0.001894547
2.7936480 0.263734618 0.001843346
2.7946520 0.254124284 0.001813214
2.7956560 0.248120237 0.001819839
2.7966600 0.255453928 0.001876552
2.7976640 0.252518185 0.001861140
2.7986680 0.242265677 0.001760885
2.7996720 0.229795296 0.001713015
2.8006760 0.227159976 0.001686276
2.8016800 0.225583045 0.001619632
2.8026840 0.223972735 0.001721874
2.8036880 0.223705142 0.001643290
2.8046920 0.234270170 0.001679700
2.8056960 0.229324187 0.001633439
2.8067000 0.226834053 0.001572413
2.8077040 0.224990608 0.001654950
2.8087080 0.221106091 0.001647519
2.8097120 0.211320404 0.001595727
2.8107160 0.208820531 0.001532905
2.8117200 0.216726337 0.001496672
2.8127240 0.216141786 0.001537198
2.8137280 0.210895167 0.001515800
2.8147320 0.203148725 0.001489484
2.8157360 0.198592915 0.001442763
2.8167400 0.197925510 0.001411269
2.8177440 0.193946369 0.001363276
2.8187480 0.186644350 0.001349845
2.8197520 0.189535815 0.001386780
2.8207560 0.192038728 0.001376551
2.8217600 0.188991664 0.001401158
2.8227640 0.188747238 0.001348800
2.8237680 0.183663117 0.001299778
2.8247720 0.178814119 0.001273891
2.8257760 0.180258781 0.001261011
2.8267800 0.177917558 0.001242897
2.8277840 0.170429556 0.001180334
2.8287880 0.176283302 0.001212057
2.8297920 0.177865329 0.001222861
2.8307960 0.174407952 0.001209811
2.8318000 0.169497046 0.001207497
2.8328040 0.162117505 0.001191945
2.8338080 0.159816904 0.001118022
2.8348120 0.154421026 0.001135200
2.8358160 0.154814770 0.001083687
2.8368200 0.153889537 0.001080235
2.8378240 0.153933869 0.001056239
2.8388280 0.152865956 0.001070423
2.8398320 0.148413807 0.001069913
2.8408360 0.143251422 0.001019704
2.8418400 0.138009224 0.000967025
2.8428440 0.135688982 0.000962106
2.8438480 0.136610213 0.000947729
2.8448520 0.130678979 0.000937526
2.8458560 0.127670071 0.000908708
2.8468600 0.126454524 0.000936964
2.8478640 0.121744626 0.000940857
2.8488680 0.122653277 0.000997788
2.8498720 0.118148003 0.000939433
2.8504111 0.119364620 0.000953551
2.8510912 0.119364620 0.000903916
2.8517713 0.118710060 0.000864622
2.8524514 0.118287530 0.000869216
2.8531315 0.115318630 0.000875949
2.8538115 0.111167240 0.000878146
2.8544916 0.107330470 0.000875244
2.8551717 0.105130100 0.000847270
2.8558517 0.105130100 0.000873381
2.8565318 0.106217610 0.000859004
2.8572118 0.105130100 0.000835010
2.8578919 0.106217610 0.000847260
2.8585719 0.107043500 0.000807558
2.8592520 0.107043500 0.000793693
2.8599320 0.107043500 0.000756840
2.8606120 0.107043500 0.000764769
2.8612921 0.105426090 0.000767628
2.8619721 0.099639846 0.000775601
2.8626521 0.099064042 0.000754222
2.8633321 0.096132363 0.000740882
2.8640121 0.096132363 0.000737958
2.8646921 0.092793690 0.000727153
2.8653721 0.090889086 0.000719769
2.8660521 0.090889086 0.000717579
2.8667321 0.090314094 0.000701096
2.8674120 0.089763077 0.000696345
2.8680920 0.089763077 0.000682244
2.8687720 0.089763077 0.000697881
2.8694519 0.084759080 0.000736979
2.8701319 0.084225059 0.000780807
2.8708118 0.083634800 0.000773988
