# wavenumber_(/cm) absorbance absorbance_unc
3840.4050552 0.015682093 0.004030000
3838.9248553 0.016796393 0.004177500
3837.4457961 0.022017093 0.004493000
3835.9678761 0.016243393 0.004239600
3834.4910940 0.005183093 0.004938500
3833.0154486 0.003511893 0.004553400
3831.5409385 -0.001769707 0.004713100
3830.0675624 0.008809793 0.004139200
3828.5953190 0.017881993 0.003722500
3827.1242070 0.012590093 0.003896700
3825.6542251 0.012395493 0.003946500
3824.1853720 0.014185893 0.003969200
3822.7176464 0.019047693 0.004399600
3821.2510470 0.024627193 0.004246500
3819.7855725 0.035286493 0.004183800
3818.3212216 0.021454493 0.004477300
3816.8579930 0.021672093 0.004302300
3815.3958855 0.025484793 0.003687800
3813.9348977 0.023053493 0.003977500
3812.4750283 0.019512193 0.004083800
3811.0162761 0.014507693 0.003784900
3809.5586398 0.002274193 0.003949000
3808.1021181 0.006985293 0.004304700
3806.6467097 0.010782993 0.003927900
3805.1924134 0.011795793 0.003625500
3803.7392278 0.000575093 0.003784800
3802.2871518 0.002475193 0.003749600
3800.8361840 0.004868293 0.003822200
3799.3863231 0.015226193 0.003701500
3797.9375680 -0.000315507 0.004125300
3796.4899173 0.005518793 0.004959300
3795.0433698 -0.004766507 0.003804800
3793.5979241 0.011456593 0.004134700
3792.1535792 0.019517093 0.003692600
3790.7103336 0.030528493 0.003503600
3789.2681862 0.026266493 0.003787300
3787.8271357 0.022101493 0.004181000
3786.3871808 0.007218793 0.004359700
3784.9483203 0.003506293 0.004857000
3783.5105530 0.005874093 0.004098200
3782.0738775 0.017520993 0.004115000
3780.6382927 0.002629693 0.003755600
3779.2037973 -0.007022907 0.003455000
3777.7703901 -0.002773807 0.003943700
3776.3380699 -0.002913207 0.003512300
3774.9068353 -0.002097307 0.003514700
3773.4766852 0.005076693 0.003554300
3772.0476183 0.006843893 0.004118300
3770.6196335 0.018151193 0.003954000
3769.1927294 0.021617893 0.003514600
3767.7669048 0.008344293 0.003875300
3766.3421586 -0.006793407 0.003627600
3764.9184895 -0.006811707 0.004273800
3763.4958963 -0.000431407 0.003710300
3762.0743777 -0.011082207 0.003723300
3760.6539326 -0.004807807 0.003819600
3759.2345597 -0.012196707 0.003532400
3757.8162578 -0.010941307 0.003903300
3756.3990257 -0.003583407 0.004423000
3754.9828623 0.003807493 0.003898400
3753.5677662 -0.005274807 0.004036000
3752.1537362 -0.010063007 0.003784000
3750.7407713 -0.015562107 0.003990300
3749.3288701 -0.010516307 0.003518100
3747.9180315 -0.001376307 0.003101600
3746.5082543 -0.013279707 0.003491900
3745.0995373 -0.029960907 0.003402500
3743.6918792 -0.028006207 0.003899500
3742.2852789 -0.020002007 0.003729900
3740.8797352 -0.005317807 0.003573700
3739.4752469 -0.003731207 0.003259800
3738.0718128 0.000316393 0.003592200
